source_website,search_url,detail_url,title,project_name,developer,posted_on,price,area,configurations,total_units,ownership,approved_by,rera_registered,location,bhk,property_type,transaction_type,possession_status,description,amenities,agent_or_builder,seller_type
RealEstateIndia,https://www.realestateindia.com/bangalore-property/new-projects.htm,https://www.realestateindia.com/projects/sobha-neopolis-by-sobha-limited-in-panathur-bangalore-pjid-44295/,SOBHA NEOPOLIS,SOBHA NEOPOLIS,Sobha Limited,,90 Lac - 3.60 Cr.,,"1, 3, 4 BHK Apartment",1600,,,Yes,"Panathur, Bangalore",4,Apartment,New Project,Upcoming Projects,"Sobha Neopolis is a newly launched premium residential project by Sobha Limited, located just off Panathur Main Road, close to Marathahalli Outer Ring...",,,
RealEstateIndia,https://www.realestateindia.com/bangalore-property/new-projects.htm,https://www.realestateindia.com/projects/sobha-townpark-by-sobha-limited-in-hosur-road-bangalore-pjid-53549/,SOBHA Townpark,SOBHA Townpark,Sobha Limited,,80 Lac - 5 Cr.,,"1, 2, 2.5, 3, 4 BHK Apartment",2104,,,Yes,"Hosur Road, Bangalore",4,Apartment,New Project,Upcoming Projects,"SOBHA Townpark is a luxury residential township inspired by New York City, featuring SOBHA Hamptons and SOBHA Madison Heights. Located near Electronic...",,,
RealEstateIndia,https://www.realestateindia.com/bangalore-property/new-projects.htm,https://www.realestateindia.com/projects/sobha-ayana-in-panathur-bangalore-pjid-56528/,Sobha Ayana,Sobha Ayana,,,1.96 Cr.,,3 BHK Apartment,683,,,Yes,"Panathur, Bangalore",3,Apartment,New Project,Ready to Move,Raw tropical beauty in sylvan surrender of quietude. A world where modern living harmonises with the essence of a lush paradise. Brimming with over 10...,,,
RealEstateIndia,https://www.realestateindia.com/bangalore-property/new-projects.htm,https://www.realestateindia.com/projects/sobha-sacred-grove-by-sobha-limited-in-chikka-tirupathi-bangalore-pjid-63920/,Sobha Sacred Grove,Sobha Sacred Grove,Sobha Limited,,Sobha Sacred Grove,,Residential Plot,388,,,Yes,"Chikka Tirupathi, Bangalore",,Plot,New Project,Upcoming Projects,"Sobha Sacred Grove by the Lake is a premier, new launch plotted project by the famous Sobha Limited. It is in a great spot in Chikkathirupathi, Malur ...",,,
RealEstateIndia,https://www.realestateindia.com/bangalore-property/new-projects.htm,https://www.realestateindia.com/projects/sobha-altair-by-sobha-limited-in-sarjapur-road-bangalore-pjid-63905/,Sobha Altair,Sobha Altair,Sobha Limited,,,,"3, 4 BHK Apartment",207,,,Yes,"Sarjapur Road, Bangalore",4,Apartment,New Project,Upcoming Projects,"Beyond the city’s sprawl yet intrinsically linked to its vital corridors, this composed urban oasis is defined by deliberate exclusivity. Meticu...",,,
RealEstateIndia,https://www.realestateindia.com/bangalore-property/new-projects.htm,https://www.realestateindia.com/projects/sobha-the-one-world-by-sobha-limited-in-hoskote-bangalore-pjid-63890/,Sobha The One World,Sobha The One World,Sobha Limited,,1.09 - 3.63 Cr.,,"1, 2, 3, 4 BHK Apartment",4182,,,,"Hoskote, Bangalore",4,Apartment,New Project,Upcoming Projects,"Sobha The One World – Grand Integrated Township is an upcoming landmark development by Sobha Limited, spread across 300+ acres and thoughtfully ...",,,
RealEstateIndia,https://www.realestateindia.com/bangalore-property/new-projects.htm,https://www.realestateindia.com/projects/casagrand-estancia-by-casagrand-builder-private-limited-in-kogilu-bangalore-pjid-57357/,Casagrand Estancia,Casagrand Estancia,Casagrand Builder Private Limited,,1.47 - 2.23 Cr.,,"3, 4 BHK Apartment",429,,,Yes,"Kogilu, Bangalore",4,Apartment,New Project,Upcoming Projects,"It began with 7.32 acres then we thought, why not 429 finely crafted apartments on B+G+13 floors? then came 73 amenities, a 22,500 sft. grand clubhous...",,,
RealEstateIndia,https://www.realestateindia.com/bangalore-property/new-projects.htm,https://www.realestateindia.com/projects/casagrand-promenade-by-casagrand-builder-private-limited-in-yelahanka-bangalore-pjid-57349/,Casagrand Promenade,Casagrand Promenade,Casagrand Builder Private Limited,,1.48 - 2.08 Cr.,,"3, 4 BHK Apartment",223,,,Yes,"Yelahanka, Bangalore",4,Apartment,New Project,Upcoming Projects,"Amidst the city’s fast pace and evolving skyline, the heart yearns for what truly matters – a place to belong, a home that feels like a wa...",,,
RealEstateIndia,https://www.realestateindia.com/bangalore-property/new-projects.htm,https://www.realestateindia.com/projects/casagrand-amor-in-akshay-nagar-bangalore-pjid-56236/,Casagrand Amor,Casagrand Amor,,,1.26 Cr.,,3 BHK Apartment,480,,,Yes,"Akshay Nagar, Bangalore",3,Apartment,New Project,Upcoming Projects,"Welcome to Casagrand Amor, your sanctuary of luxury and tranquility nestled in Begur, off Bannerghatta Road. Offering elegant 2 and 3 BHK apartments, ...",,,
RealEstateIndia,https://www.realestateindia.com/bangalore-property/new-projects.htm,https://www.realestateindia.com/projects/casagrand-flamingo-by-casagrand-builder-private-limited-in-hsr-layout-bangalore-pjid-57345/,Casagrand Flamingo,Casagrand Flamingo,Casagrand Builder Private Limited,,2.35 - 3.11 Cr.,,3 BHK Apartment,218,,,Yes,"HSR Layout, Bangalore",3,Apartment,New Project,Upcoming Projects,Casagrand Flamingo offers the epitome of luxury to give you a living experience that is absolutely par excellence. These premium apartments at HSR Lay...,,,
RealEstateIndia,https://www.realestateindia.com/bangalore-property/new-projects.htm,https://www.realestateindia.com/projects/casagrand-regal-in-ashwath-nagar-hbr-layout-bangalore-pjid-56831/,Casagrand Regal,Casagrand Regal,,,1.30 - 1.52 Cr.,,3 BHK Apartment,72,,,Yes,"Ashwath Nagar, Hbr Layout, Bangalore",3,Apartment,New Project,Upcoming Projects,"Nestled within a meticulously planned landscape spanning across 1.43 acres, our community exudes sophistication and allure at every corner. With round...",,,
RealEstateIndia,https://www.realestateindia.com/bangalore-property/new-projects.htm,https://www.realestateindia.com/projects/embassy-verde-by-embassy-group-in-devanahalli-bangalore-pjid-56423/,Embassy Verde,Embassy Verde,Embassy Group,,,,"2, 2.5, 3 BHK Apartment",1044,,,Yes,"Devanahalli, Bangalore",3,Apartment,New Project,Upcoming Projects,"Embassy Verde invites you to experience life where vibrant greenery meets modern living. Nestled in Embassy Springs, North Bengaluru's sustainable tow...",,,
